order_no,created_at,amount,channel,sales_owner,invoice_required,reconcile_mismatch
SC908108,2026-07-21T13:40:00,7778.42,商城,吴倩,是,是
SC908109,2026-07-21T20:22:00,7656.69,电话下单,吴倩,是,否
SC908110,2026-07-21T09:11:00,5343.46,商城,孙磊,否,否
SC908111,2026-07-21T16:21:00,7338.56,门店,孙磊,否,否
SC908112,2026-07-21T13:09:00,4157.42,门店,吴倩,是,否
SC908113,2026-07-21T09:15:00,7498.27,门店,吴倩,否,否
SC908114,2026-07-21T19:26:00,1225.05,门店,吴倩,是,否
SC908115,2026-07-21T11:08:00,1321.67,门店,孙磊,否,否
SC908116,2026-07-21T16:50:00,237.67,商城,赵强,是,否
SC908117,2026-07-21T12:34:00,7595.71,商城,吴倩,是,否
SC908118,2026-07-21T11:10:00,6207.84,商城,孙磊,是,否
SC908119,2026-07-21T21:55:00,8050.24,商城,吴倩,是,是
SC908120,2026-07-21T18:05:00,3621.93,商城,赵强,否,否
SC908121,2026-07-21T17:38:00,7901.98,门店,孙磊,是,否
SC908122,2026-07-21T09:57:00,4706.93,商城,吴倩,否,否
SC908123,2026-07-21T18:50:00,8572.11,门店,赵强,否,否
SC908124,2026-07-21T11:39:00,4399.54,商城,赵强,否,否
SC908125,2026-07-21T09:02:00,4009.87,电话下单,吴倩,是,否
SC908126,2026-07-21T10:16:00,5125.65,商城,孙磊,是,否
SC908127,2026-07-21T19:05:00,1173.33,商城,赵强,否,否
SC908128,2026-07-21T19:44:00,3016.33,商城,吴倩,是,否
SC908129,2026-07-21T15:37:00,6068.61,商城,吴倩,否,是
SC908130,2026-07-21T11:44:00,1450.64,商城,赵强,否,否
SC908131,2026-07-21T10:39:00,7415.63,商城,孙磊,否,否
SC908132,2026-07-22T10:32:00,6586.91,门店,孙磊,否,否
SC908133,2026-07-22T18:56:00,3006.87,门店,赵强,是,否
SC908134,2026-07-22T11:13:00,7884.51,门店,赵强,是,否
SC908135,2026-07-22T18:54:00,1607.24,门店,赵强,是,否
SC908136,2026-07-22T08:01:00,7424.75,电话下单,吴倩,否,否
SC908137,2026-07-22T14:52:00,4916.4,门店,赵强,是,否
SC908138,2026-07-22T19:10:00,7227.44,门店,孙磊,否,否
SC908139,2026-07-22T16:51:00,5617.75,电话下单,孙磊,是,否
SC908140,2026-07-22T10:47:00,6500.48,商城,赵强,否,否
SC908141,2026-07-22T09:55:00,6062.51,商城,赵强,否,否
SC908142,2026-07-22T16:49:00,4276.21,门店,吴倩,否,否
SC908143,2026-07-22T18:50:00,5960.97,商城,吴倩,是,否
SC908144,2026-07-22T16:40:00,5053.71,商城,孙磊,否,否
SC908145,2026-07-22T16:56:00,610.88,门店,赵强,否,是
SC908146,2026-07-22T16:38:00,4744.45,门店,赵强,否,是
SC908147,2026-07-22T18:05:00,1630.21,商城,孙磊,否,否
SC908148,2026-07-22T15:11:00,6850.88,商城,吴倩,否,否
SC908149,2026-07-22T11:55:00,167.36,门店,吴倩,是,否
SC908150,2026-07-22T18:21:00,4291.8,商城,孙磊,否,是
SC908151,2026-07-22T18:38:00,2672.47,门店,赵强,否,否
SC908152,2026-07-22T18:41:00,6067.48,商城,吴倩,是,否
SC908153,2026-07-22T16:38:00,2123.86,商城,孙磊,否,否
SC908154,2026-07-22T19:09:00,2332.78,电话下单,吴倩,是,否
SC908155,2026-07-22T16:51:00,2509.24,电话下单,孙磊,是,否
SC908156,2026-07-22T15:25:00,1566.29,商城,吴倩,是,否
SC908157,2026-07-22T08:51:00,4693.66,商城,孙磊,是,否
SC908158,2026-07-22T20:18:00,2021.9,门店,孙磊,是,否
SC908159,2026-07-22T21:49:00,4821.13,商城,孙磊,是,否
SC908160,2026-07-22T14:25:00,3191.42,商城,孙磊,否,否
SC908161,2026-07-22T16:34:00,2966.64,商城,孙磊,否,否
SC908162,2026-07-22T15:05:00,4615.53,门店,孙磊,是,否
SC908163,2026-07-22T11:14:00,5913.03,商城,孙磊,是,否
SC908164,2026-07-22T18:19:00,3826.54,商城,吴倩,是,否
SC908165,2026-07-22T16:35:00,4523.19,门店,吴倩,否,否
SC908166,2026-07-22T16:57:00,190.52,电话下单,吴倩,是,否
SC908167,2026-07-22T20:03:00,748.52,商城,孙磊,是,否
SC908168,2026-07-22T18:10:00,6271.23,商城,赵强,否,是
SC908169,2026-07-22T16:52:00,3833.7,商城,赵强,否,否
SC908170,2026-07-22T11:28:00,5699.44,门店,吴倩,否,否
SC908171,2026-07-22T17:37:00,7424.96,商城,赵强,否,否
SC908172,2026-07-22T10:51:00,839.63,电话下单,赵强,否,否
SC908173,2026-07-22T14:21:00,7689.97,门店,吴倩,是,是
SC908174,2026-07-22T18:52:00,5369.14,商城,孙磊,否,否
SC908175,2026-07-22T20:28:00,6577.16,商城,赵强,是,否
SC908176,2026-07-22T10:48:00,3303.59,商城,赵强,是,否
SC908177,2026-07-22T21:44:00,6684.05,商城,赵强,否,否
SC908178,2026-07-22T08:26:00,4157.82,商城,赵强,是,否
SC908179,2026-07-22T08:58:00,2702.19,商城,孙磊,是,否
SC908180,2026-07-22T13:38:00,3336.85,商城,吴倩,否,是
SC908181,2026-07-22T08:29:00,3663.0,商城,赵强,否,否
SC908182,2026-07-22T10:03:00,2835.33,商城,吴倩,否,是
SC908183,2026-07-22T17:08:00,1486.78,门店,吴倩,否,否
SC908184,2026-07-22T19:38:00,5921.34,电话下单,孙磊,否,否
SC908185,2026-07-22T12:49:00,1893.96,电话下单,吴倩,否,否
SC908186,2026-07-22T18:32:00,4077.09,商城,吴倩,是,否
SC908187,2026-07-22T19:01:00,807.04,电话下单,赵强,否,否
SC908188,2026-07-22T13:58:00,6991.85,商城,吴倩,是,否
SC908189,2026-07-22T15:41:00,6820.33,门店,孙磊,否,否
SC908190,2026-07-22T09:37:00,5770.87,商城,赵强,是,否
SC908191,2026-07-22T18:08:00,5800.61,商城,赵强,否,否
SC908192,2026-07-22T19:16:00,3270.37,商城,赵强,否,否
SC908193,2026-07-22T19:09:00,3029.54,商城,吴倩,否,否
SC908194,2026-07-22T13:43:00,5657.65,门店,赵强,是,否
SC908195,2026-07-22T10:38:00,6371.75,门店,赵强,否,否
SC908196,2026-07-23T08:26:00,8274.77,商城,赵强,是,否
SC908197,2026-07-23T10:10:00,2189.26,商城,吴倩,是,否
SC908198,2026-07-23T19:48:00,3726.31,门店,吴倩,否,否
SC908199,2026-07-23T10:46:00,6363.53,门店,吴倩,否,是
SC908200,2026-07-23T11:55:00,5580.05,门店,赵强,是,否
SC908201,2026-07-23T20:02:00,2864.62,商城,赵强,是,否
SC908202,2026-07-23T10:46:00,424.27,门店,赵强,是,否
SC908203,2026-07-23T13:34:00,7306.39,门店,吴倩,否,否
SC908204,2026-07-23T16:03:00,7112.34,门店,孙磊,是,否
SC908205,2026-07-23T15:11:00,6289.41,商城,孙磊,是,否
SC908206,2026-07-23T21:37:00,7068.05,商城,孙磊,是,否
SC908207,2026-07-23T14:05:00,6356.76,商城,赵强,否,否
SC908208,2026-07-23T18:35:00,5440.6,商城,吴倩,是,否
SC908209,2026-07-23T21:54:00,6725.52,门店,赵强,否,否
SC908210,2026-07-23T13:28:00,7436.72,门店,吴倩,否,否
SC908211,2026-07-23T12:48:00,7284.88,商城,赵强,是,否
SC908212,2026-07-23T18:27:00,4588.36,商城,孙磊,否,否
SC908213,2026-07-23T13:11:00,6900.88,商城,孙磊,否,是
SC908214,2026-07-23T12:04:00,478.74,门店,吴倩,否,否
SC908215,2026-07-23T09:21:00,4917.05,商城,赵强,是,否
SC908216,2026-07-23T16:37:00,4823.45,商城,孙磊,否,是
SC908217,2026-07-23T19:48:00,3727.88,门店,赵强,否,否
SC908218,2026-07-23T20:09:00,2332.54,门店,吴倩,是,否
SC908219,2026-07-23T10:37:00,7019.26,商城,赵强,是,否
SC908220,2026-07-23T16:48:00,5111.79,门店,孙磊,否,否
SC908221,2026-07-23T20:21:00,1524.77,商城,孙磊,否,否
SC908222,2026-07-23T11:23:00,3313.72,门店,孙磊,是,否
SC908223,2026-07-23T14:19:00,148.66,电话下单,孙磊,否,是
SC908224,2026-07-23T18:44:00,5458.22,门店,吴倩,否,否
SC908225,2026-07-23T13:06:00,1685.0,门店,赵强,否,否
SC908226,2026-07-23T12:03:00,5244.53,商城,吴倩,是,否
SC908227,2026-07-23T14:11:00,1748.5,商城,赵强,是,否
SC908228,2026-07-23T20:51:00,6901.2,商城,吴倩,否,否
SC908229,2026-07-23T12:13:00,5746.16,商城,吴倩,是,否
SC908230,2026-07-23T19:26:00,5899.9,商城,孙磊,是,否
SC908231,2026-07-23T10:31:00,4907.79,商城,吴倩,否,否
SC908232,2026-07-23T10:40:00,3819.91,商城,孙磊,是,否
SC908233,2026-07-23T20:40:00,8079.16,商城,赵强,否,否
SC908234,2026-07-23T17:27:00,6849.76,门店,赵强,否,是
SC908235,2026-07-23T13:05:00,1153.92,门店,赵强,是,否
SC908236,2026-07-23T09:43:00,4100.73,商城,吴倩,是,否
SC908237,2026-07-23T19:13:00,806.48,门店,孙磊,否,是
SC908238,2026-07-23T10:44:00,7163.43,商城,赵强,否,否
SC908239,2026-07-23T18:43:00,555.44,商城,赵强,否,否
SC908240,2026-07-23T13:38:00,3366.7,电话下单,孙磊,否,否
SC908241,2026-07-23T14:06:00,3689.67,商城,孙磊,是,否
SC908242,2026-07-23T08:26:00,442.56,商城,赵强,否,否
SC908243,2026-07-23T21:45:00,1704.58,门店,赵强,否,是
SC908244,2026-07-23T08:40:00,3163.38,电话下单,赵强,是,否
SC908245,2026-07-23T08:02:00,4079.68,电话下单,吴倩,否,否
SC908246,2026-07-23T20:05:00,7091.64,电话下单,孙磊,是,否
SC908247,2026-07-23T14:02:00,317.55,商城,孙磊,否,否
SC908248,2026-07-23T19:08:00,675.15,门店,吴倩,否,否
SC908249,2026-07-23T20:03:00,4981.67,商城,吴倩,否,否
SC908250,2026-07-23T13:54:00,8265.45,商城,吴倩,否,否
SC908251,2026-07-23T20:07:00,5569.18,商城,赵强,否,是
SC908252,2026-07-23T19:00:00,7095.95,门店,吴倩,是,否
SC908253,2026-07-23T15:49:00,4848.59,门店,赵强,否,否
SC908254,2026-07-23T08:39:00,6997.06,商城,吴倩,否,否
SC908255,2026-07-23T18:18:00,5562.05,门店,赵强,否,否
SC908256,2026-07-23T08:58:00,2066.36,商城,吴倩,是,否
SC908257,2026-07-24T08:04:00,4760.32,电话下单,孙磊,否,否
SC908258,2026-07-24T13:10:00,152.19,商城,孙磊,是,否
SC908259,2026-07-24T09:01:00,1779.32,商城,孙磊,是,否
SC908260,2026-07-24T16:55:00,3095.08,商城,孙磊,否,否
SC908261,2026-07-24T18:14:00,146.16,门店,赵强,是,否
SC908262,2026-07-24T09:36:00,8184.47,电话下单,赵强,否,否
SC908263,2026-07-24T10:15:00,6683.55,电话下单,孙磊,是,否
SC908264,2026-07-24T17:32:00,8054.96,商城,孙磊,是,否
SC908265,2026-07-24T20:57:00,554.21,商城,孙磊,否,否
SC908266,2026-07-24T08:56:00,5600.18,商城,孙磊,否,否
SC908267,2026-07-24T16:04:00,4539.57,商城,赵强,是,否
SC908268,2026-07-24T16:18:00,742.96,门店,孙磊,否,否
SC908269,2026-07-24T08:11:00,7561.17,商城,孙磊,是,否
SC908270,2026-07-24T20:41:00,8372.09,电话下单,赵强,否,否
SC908271,2026-07-24T15:08:00,4625.55,商城,赵强,是,否
SC908272,2026-07-24T13:07:00,4428.52,商城,孙磊,是,否
SC908273,2026-07-24T08:37:00,3799.88,商城,赵强,是,否
SC908274,2026-07-24T08:11:00,801.82,电话下单,赵强,是,否
SC908275,2026-07-24T09:24:00,5611.97,电话下单,赵强,否,否
SC908276,2026-07-24T17:47:00,5068.89,商城,吴倩,否,否
SC908277,2026-07-24T11:01:00,6614.56,门店,孙磊,否,否
SC908278,2026-07-24T12:36:00,3210.39,电话下单,孙磊,是,否
SC908279,2026-07-24T16:50:00,6210.45,门店,吴倩,是,否
SC908280,2026-07-24T13:34:00,1768.4,电话下单,赵强,否,是
SC908281,2026-07-24T14:07:00,4613.1,电话下单,孙磊,否,否
SC908282,2026-07-24T14:29:00,3954.92,商城,孙磊,是,否
SC908283,2026-07-24T08:05:00,2460.7,门店,吴倩,否,否
SC908284,2026-07-24T17:30:00,1568.55,商城,孙磊,是,否
SC908285,2026-07-24T10:48:00,8053.43,商城,赵强,是,否
SC908286,2026-07-24T16:42:00,369.46,门店,赵强,否,否
SC908287,2026-07-24T12:03:00,7321.1,门店,赵强,是,否
SC908288,2026-07-24T20:18:00,6562.15,电话下单,孙磊,否,否
SC908289,2026-07-24T16:50:00,4563.96,商城,孙磊,否,否
SC908290,2026-07-24T13:49:00,510.16,商城,吴倩,否,否
SC908291,2026-07-24T21:21:00,5932.79,门店,孙磊,否,否
SC908292,2026-07-24T14:10:00,7614.83,商城,赵强,是,否
SC908293,2026-07-24T16:48:00,7001.03,门店,赵强,否,否
SC908294,2026-07-24T13:45:00,4796.92,电话下单,孙磊,是,否
SC908295,2026-07-24T18:09:00,4411.81,商城,吴倩,是,否
SC908296,2026-07-24T11:33:00,4400.66,商城,吴倩,否,否
SC908297,2026-07-24T11:09:00,1516.24,门店,孙磊,是,否
SC908298,2026-07-24T14:35:00,558.36,门店,吴倩,否,否
SC908299,2026-07-24T19:32:00,7375.82,商城,赵强,否,否
SC908300,2026-07-24T21:36:00,785.47,门店,吴倩,是,否
SC908301,2026-07-24T12:14:00,1404.75,电话下单,孙磊,是,否
SC908302,2026-07-24T12:04:00,4223.69,商城,孙磊,否,否
SC908303,2026-07-24T15:25:00,4658.59,商城,孙磊,是,否
SC908304,2026-07-24T19:46:00,4829.38,商城,赵强,否,否
SC908305,2026-07-24T12:10:00,6596.72,电话下单,赵强,否,是
SC908306,2026-07-24T10:23:00,3927.33,门店,吴倩,否,否
SC908307,2026-07-24T19:00:00,7572.82,商城,孙磊,是,否
SC908308,2026-07-24T09:43:00,2887.27,门店,孙磊,是,是
SC908309,2026-07-24T21:07:00,1540.71,电话下单,吴倩,是,否
SC908310,2026-07-24T17:37:00,6497.67,门店,赵强,是,否
SC908311,2026-07-24T13:53:00,2201.2,商城,吴倩,否,否
SC908312,2026-07-24T17:04:00,1235.55,门店,吴倩,否,否
SC908313,2026-07-24T15:08:00,1391.12,门店,吴倩,是,否
SC908314,2026-07-24T16:42:00,7786.03,门店,赵强,否,否
SC908315,2026-07-24T19:48:00,3342.61,商城,孙磊,否,否
SC908316,2026-07-24T10:51:00,2219.54,商城,赵强,否,是
SC908317,2026-07-24T16:07:00,1291.13,商城,赵强,否,否
SC908318,2026-07-27T13:42:00,6448.75,商城,孙磊,否,否
SC908319,2026-07-27T16:17:00,272.26,商城,吴倩,否,否
SC908320,2026-07-27T20:25:00,2939.75,商城,赵强,否,否
SC908321,2026-07-27T17:36:00,2740.63,门店,孙磊,是,否
SC908322,2026-07-27T09:29:00,5782.55,商城,赵强,是,否
SC908323,2026-07-27T20:11:00,1344.08,商城,赵强,是,否
SC908324,2026-07-27T20:27:00,4444.56,商城,赵强,是,否
SC908325,2026-07-27T20:07:00,863.77,电话下单,吴倩,是,否
SC908326,2026-07-27T14:56:00,1843.85,商城,吴倩,否,否
SC908327,2026-07-27T14:07:00,2536.98,商城,吴倩,是,否
SC908328,2026-07-27T16:48:00,2315.26,电话下单,孙磊,是,否
SC908329,2026-07-27T08:07:00,5204.72,门店,吴倩,否,是
SC908330,2026-07-27T14:22:00,2599.83,门店,赵强,是,否
SC908331,2026-07-27T10:16:00,121.4,门店,吴倩,是,否
SC908332,2026-07-27T12:01:00,1298.27,电话下单,赵强,否,是
SC908333,2026-07-27T10:54:00,6229.51,商城,吴倩,是,否
SC908334,2026-07-27T21:15:00,3875.07,门店,吴倩,否,否
SC908335,2026-07-27T19:55:00,4934.66,商城,吴倩,否,否
SC908336,2026-07-27T21:33:00,7525.6,商城,赵强,是,否
SC908337,2026-07-27T08:27:00,3102.71,电话下单,吴倩,否,否
SC908338,2026-07-27T12:47:00,1699.49,门店,吴倩,否,否
SC908339,2026-07-27T19:08:00,5644.3,商城,吴倩,否,否
SC908340,2026-07-27T20:33:00,2908.79,商城,孙磊,否,否
SC908341,2026-07-27T17:49:00,8244.48,门店,孙磊,是,否
SC908342,2026-07-27T14:57:00,1103.62,商城,孙磊,否,否
SC908343,2026-07-27T15:00:00,5845.08,门店,孙磊,否,否
SC908344,2026-07-27T08:02:00,6339.73,门店,孙磊,是,否
SC908345,2026-07-27T20:10:00,6093.25,门店,孙磊,是,否
SC908346,2026-07-27T13:22:00,2507.79,门店,孙磊,否,是
SC908347,2026-07-27T21:31:00,6031.88,电话下单,吴倩,否,否
SC908348,2026-07-27T19:45:00,4526.9,商城,吴倩,否,是
SC908349,2026-07-27T21:15:00,6530.36,商城,赵强,是,否
SC908350,2026-07-27T10:52:00,2611.0,门店,吴倩,否,是
SC908351,2026-07-27T21:22:00,3316.96,商城,孙磊,是,否
SC908352,2026-07-27T14:54:00,7421.72,商城,赵强,否,否
SC908353,2026-07-27T11:53:00,6130.71,商城,赵强,是,否
SC908354,2026-07-27T20:57:00,1849.15,商城,孙磊,否,否
SC908355,2026-07-27T21:40:00,6708.82,商城,赵强,否,否
SC908356,2026-07-27T16:26:00,1510.91,商城,赵强,是,否
SC908357,2026-07-27T20:24:00,6896.22,商城,吴倩,是,否
SC908358,2026-07-27T14:48:00,1874.29,商城,赵强,是,是
SC908359,2026-07-27T20:13:00,296.8,门店,赵强,否,是
SC908360,2026-07-27T09:56:00,6606.22,商城,赵强,否,否
SC908361,2026-07-27T08:12:00,1067.88,商城,孙磊,是,否
SC908362,2026-07-27T11:48:00,5503.8,商城,吴倩,否,否
SC908363,2026-07-27T17:22:00,5482.47,门店,赵强,否,否
SC908364,2026-07-27T11:54:00,4942.03,商城,赵强,否,是
SC908365,2026-07-27T08:01:00,7577.04,电话下单,赵强,否,否
SC908366,2026-07-27T10:27:00,702.47,门店,孙磊,否,否
SC908367,2026-07-27T18:02:00,1819.63,商城,吴倩,是,否
SC908368,2026-07-27T20:54:00,4579.31,门店,吴倩,是,否
SC908369,2026-07-27T09:58:00,7368.34,商城,吴倩,否,否
SC908370,2026-07-27T13:41:00,1467.96,门店,孙磊,是,否
SC908371,2026-07-27T16:54:00,4886.15,门店,孙磊,是,否
SC908372,2026-07-27T14:16:00,1815.39,商城,孙磊,否,是
SC908373,2026-07-27T15:42:00,5401.21,商城,赵强,是,否
SC908374,2026-07-27T19:52:00,2346.89,商城,吴倩,否,否
SC908375,2026-07-27T15:14:00,6686.48,商城,吴倩,是,否
SC908376,2026-07-27T21:06:00,5919.0,商城,孙磊,否,否
SC908377,2026-07-27T08:12:00,3088.44,电话下单,赵强,是,否
SC908378,2026-07-28T16:55:00,1976.16,电话下单,孙磊,否,否
SC908379,2026-07-28T18:03:00,6753.63,商城,赵强,否,否
SC908380,2026-07-28T10:39:00,1093.05,商城,吴倩,否,否
SC908381,2026-07-28T12:03:00,537.58,商城,孙磊,是,否
SC908382,2026-07-28T13:17:00,2059.1,商城,赵强,是,否
SC908383,2026-07-28T16:44:00,202.95,商城,孙磊,是,否
SC908384,2026-07-28T20:20:00,6764.81,电话下单,赵强,否,否
SC908385,2026-07-28T14:14:00,2683.0,商城,吴倩,否,否
SC908386,2026-07-28T18:18:00,7192.93,商城,赵强,否,否
SC908387,2026-07-28T11:04:00,669.38,商城,赵强,否,否
SC908388,2026-07-28T11:53:00,5724.2,商城,赵强,否,否
SC908389,2026-07-28T08:39:00,4925.21,商城,吴倩,是,是
SC908390,2026-07-28T09:12:00,3040.75,商城,吴倩,是,否
SC908391,2026-07-28T16:19:00,3579.08,电话下单,吴倩,否,否
SC908392,2026-07-28T13:36:00,7352.96,商城,赵强,否,否
SC908393,2026-07-28T08:55:00,3066.21,商城,孙磊,否,是
SC908394,2026-07-28T10:37:00,1949.22,商城,吴倩,否,否
SC908395,2026-07-28T09:08:00,1400.27,商城,孙磊,否,否
SC908396,2026-07-28T11:41:00,613.73,商城,赵强,否,否
SC908397,2026-07-28T13:50:00,8303.53,门店,吴倩,否,否
SC908398,2026-07-28T16:12:00,7385.1,商城,孙磊,否,否
SC908399,2026-07-28T12:16:00,2668.89,商城,赵强,是,否
SC908400,2026-07-28T21:23:00,5309.35,门店,吴倩,否,否
